"id","timestamp","location","aqi","pm25","pm10","co","so2","no2","o3"
"11596","2025-11-27 09:29:54.362265+00","Ninh Thuan","71","20","26","179","1","7","50"
"11597","2025-11-27 09:29:58.055619+00","Phu Tho","71","20","32","430","11","9","35"
"11598","2025-11-27 09:30:00.353308+00","Quang Binh Province","105","37","59","591","6","20","42"
"11599","2025-11-27 09:30:02.573696+00","Quang Nam","84","27","37","225","4","11","60"
"11600","2025-11-27 09:30:04.776376+00","Quang Ngai","88","29","53","219","3","6","35"
"11601","2025-11-27 09:30:06.99903+00","Quang Ninh","59","14","35","215","6","5","44"
"11602","2025-11-27 09:30:09.220303+00","Quang Ninh Province","62","15","29","285","4","6","32"
"11603","2025-11-27 09:30:11.501636+00","Quang Tri","62","15","29","285","4","6","32"
"11604","2025-11-27 09:30:13.73582+00","Son La","75","22","26","323","6","7","45"
"11605","2025-11-27 09:30:16.080231+00","Tay Ninh","68","18","27","258","4","17","43"
"11606","2025-11-27 09:30:18.302447+00","Thai Binh","62","15","27","191","5","10","47"
"11607","2025-11-27 09:30:20.536936+00","Thai Binh Province","62","15","25","185","6","10","48"
"11608","2025-11-27 09:30:22.823209+00","Thua Thien Hue","77","23","41","223","3","6","45"
"11609","2025-11-27 09:30:25.020008+00","Tra Vinh","74","21","25","262","5","12","40"
"11610","2025-11-27 09:30:27.230629+00","Tuyen Quang Province","105","37","43","413","10","13","39"
"11611","2025-11-27 09:30:29.447561+00","Vinh Long","68","18","26","224","4","14","42"
"11612","2025-11-27 09:30:31.648996+00","Vinh Phuc","79","24","26","273","6","9","53"
"11613","2025-11-27 10:29:08.765402+00","Ba Ria Vung Tau","79","24","38","264","3","10","66"
"11614","2025-11-27 10:29:13.1862+00","Bac Giang","66","17","41","227","11","7","27"
"11615","2025-11-27 10:29:19.821456+00","Bac Ninh","59","14","20","261","8","10","34"
"11616","2025-11-27 10:29:30.151318+00","Binh Dinh","74","21","32","207","2","5","55"
"11617","2025-11-27 10:29:34.789193+00","Binh Duong","70","19","27","262","3","12","48"
"11618","2025-11-27 10:29:41.620859+00","Can Tho","71","20","30","243","3","11","55"
"11619","2025-11-27 10:29:47.66348+00","Cao Bang","80","24","48","406","2","4","41"
"11620","2025-11-27 10:29:50.153806+00","Da Nang","80","24","45","246","4","6","70"
"11621","2025-11-27 10:29:52.708368+00","Gia Lai","75","22","28","302","4","21","53"
"11622","2025-11-27 10:29:58.285217+00","Ha Nam","79","24","39","298","7","15","42"
"11623","2025-11-27 10:30:06.300609+00","Ha Nam Province","82","26","37","307","8","17","39"
"11624","2025-11-27 10:30:08.881965+00","Ha Noi","77","23","38","216","5","10","48"
"11625","2025-11-27 10:30:19.776058+00","Hai Duong","63","16","42","223","11","8","39"
"11626","2025-11-27 10:30:22.208391+00","Hai Phong","62","15","41","199","7","6","45"
"11627","2025-11-27 10:30:24.737588+00","Ho Chi Minh","72","20","32","245","4","12","56"
"11628","2025-11-27 10:30:28.587504+00","Hanoi","68","18","42","254","6","14","41"
"11629","2025-11-27 10:30:36.725097+00","Hung Yen","73","21","30","262","7","13","43"
"11630","2025-11-27 10:30:44.896663+00","Hoa Binh Province","73","21","48","225","6","14","41"
"11631","2025-11-27 10:30:52.286662+00","Khanh Hoa","69","19","26","188","1","6","50"
"11632","2025-11-27 10:30:54.857777+00","Lam Dong","22","4","6","164","1","6","41"
"11633","2025-11-27 10:30:57.415671+00","Lang Son","69","19","47","232","6","4","30"
"11634","2025-11-27 10:31:01.835194+00","Lang Son Province","73","21","47","228","9","7","27"
"11635","2025-11-27 10:31:13.035075+00","Lao Cai","53","10","20","149","1","2","46"
"11636","2025-11-27 10:31:16.615566+00","Long An","82","26","32","320","5","16","50"
"11637","2025-11-27 10:31:22.442125+00","Nghe An","70","19","41","688","9","24","36"
"11638","2025-11-27 10:31:25.253717+00","Ninh Binh","77","23","37","219","5","9","47"
"11639","2025-11-27 10:31:27.680656+00","Ninh Thuan","71","20","26","179","1","7","50"
"11640","2025-11-27 10:31:32.540175+00","Phu Tho","60","14","24","353","3","5","36"
"11641","2025-11-27 10:31:37.99271+00","Quang Binh Province","77","23","54","526","6","19","48"
"11642","2025-11-27 10:31:42.371469+00","Quang Nam","79","24","35","233","3","7","61"
"11643","2025-11-27 10:31:44.838082+00","Quang Ngai","88","29","53","219","3","6","35"
"11644","2025-11-27 10:31:47.371756+00","Quang Ninh","59","14","35","215","6","5","44"
"11645","2025-11-27 10:31:53.516006+00","Quang Ninh Province","64","16","32","238","5","3","44"
"11646","2025-11-27 10:31:55.757996+00","Quang Tri","64","16","32","238","5","3","44"
"11647","2025-11-27 10:31:58.272388+00","Son La","75","22","26","323","6","7","45"
"11648","2025-11-27 10:32:02.402906+00","Tay Ninh","66","17","25","276","4","13","50"
"11649","2025-11-27 10:32:04.957075+00","Thai Binh","62","15","27","191","5","10","47"
"11650","2025-11-27 10:32:07.435393+00","Thai Binh Province","62","15","25","185","6","10","48"
"11651","2025-11-27 10:32:11.997448+00","Thua Thien Hue","81","25","46","243","3","5","62"
"11652","2025-11-27 10:32:16.645981+00","Tra Vinh","84","27","35","270","4","6","77"
"11653","2025-11-27 10:32:21.64216+00","Tuyen Quang Province","69","19","25","348","5","8","44"
"11654","2025-11-27 10:32:24.968939+00","Vinh Long","77","23","29","253","4","11","56"
"11655","2025-11-27 10:32:27.482993+00","Vinh Phuc","79","24","26","273","6","9","53"
"11656","2025-11-27 11:23:07.758257+00","Ba Ria Vung Tau","79","24","38","264","3","10","66"
"11657","2025-11-27 11:23:10.57712+00","Bac Giang","66","17","41","227","11","7","27"
"11658","2025-11-27 11:23:14.148062+00","Bac Ninh","59","14","20","261","8","10","34"
"11659","2025-11-27 11:23:16.735044+00","Binh Dinh","74","21","32","207","2","5","55"
"11660","2025-11-27 11:23:19.424998+00","Binh Duong","70","19","27","262","3","12","48"
"11661","2025-11-27 11:23:21.998487+00","Can Tho","71","20","30","243","3","11","55"
"11662","2025-11-27 11:23:24.630483+00","Cao Bang","80","24","48","406","2","4","41"
"11663","2025-11-27 11:23:27.235949+00","Da Nang","80","24","45","246","4","6","70"
"11664","2025-11-27 11:23:29.840572+00","Gia Lai","75","22","28","302","4","21","53"
"11665","2025-11-27 11:23:33.37184+00","Ha Nam","79","24","39","298","7","15","42"
"11666","2025-11-27 11:23:35.962923+00","Ha Nam Province","82","26","37","307","8","17","39"
"11667","2025-11-27 11:23:38.632525+00","Ha Noi","77","23","38","216","5","10","48"
"11668","2025-11-27 11:23:42.262802+00","Hai Duong","63","16","42","223","11","8","39"
"11669","2025-11-27 11:23:44.89057+00","Hai Phong","62","15","41","199","7","6","45"
"11670","2025-11-27 11:23:47.494593+00","Ho Chi Minh","72","20","32","245","4","12","56"
"11671","2025-11-27 11:23:50.032361+00","Hanoi","68","18","42","254","6","14","41"
"11672","2025-11-27 11:23:52.677971+00","Hung Yen","73","21","30","262","7","13","43"
"11673","2025-11-27 11:23:55.320316+00","Hoa Binh Province","73","21","48","225","6","14","41"
"11674","2025-11-27 11:23:58.937754+00","Khanh Hoa","69","19","26","188","1","6","50"
"11675","2025-11-27 11:24:01.530098+00","Lam Dong","22","4","6","164","1","6","41"
"11676","2025-11-27 11:24:04.240364+00","Lang Son","69","19","47","232","6","4","30"
"11677","2025-11-27 11:24:06.911613+00","Lang Son Province","73","21","47","228","9","7","27"
"11678","2025-11-27 11:24:10.543049+00","Lao Cai","53","10","20","149","1","2","46"
"11679","2025-11-27 11:24:13.13797+00","Long An","82","26","32","320","5","16","50"
"11680","2025-11-27 11:24:16.691032+00","Nghe An","70","19","41","688","9","24","36"
"11681","2025-11-27 11:24:19.327014+00","Ninh Binh","77","23","37","219","5","9","47"
"11682","2025-11-27 11:24:22.172874+00","Ninh Thuan","71","20","26","179","1","7","50"
"11683","2025-11-27 11:24:24.695923+00","Phu Tho","60","14","24","353","3","5","36"
"11684","2025-11-27 11:24:28.398272+00","Quang Binh Province","77","23","54","526","6","19","48"
"11685","2025-11-27 11:24:31.200492+00","Quang Nam","79","24","35","233","3","7","61"
"11686","2025-11-27 11:24:33.699213+00","Quang Ngai","88","29","53","219","3","6","35"
"11687","2025-11-27 11:24:36.387471+00","Quang Ninh","59","14","35","215","6","5","44"
"11688","2025-11-27 11:24:39.870652+00","Quang Ninh Province","64","16","32","238","5","3","44"
"11689","2025-11-27 11:24:42.166057+00","Quang Tri","64","16","32","238","5","3","44"
"11690","2025-11-27 11:24:44.790373+00","Son La","75","22","26","323","6","7","45"
"11691","2025-11-27 11:24:47.364325+00","Tay Ninh","66","17","25","276","4","13","50"
"11692","2025-11-27 11:24:49.906526+00","Thai Binh","62","15","27","191","5","10","47"
"11693","2025-11-27 11:24:52.700397+00","Thai Binh Province","62","15","25","185","6","10","48"
"11694","2025-11-27 11:24:56.277922+00","Thua Thien Hue","81","25","46","243","3","5","62"
"11695","2025-11-27 11:24:58.919802+00","Tra Vinh","84","27","35","270","4","6","77"
"11696","2025-11-27 11:25:01.419505+00","Tuyen Quang Province","69","19","25","348","5","8","44"
"11697","2025-11-27 11:25:04.20627+00","Vinh Long","77","23","29","253","4","11","56"
"11698","2025-11-27 11:25:06.910341+00","Vinh Phuc","79","24","26","273","6","9","53"
"11699","2025-11-27 12:54:28.34073+00","Ba Ria Vung Tau","79","24","38","264","3","10","66"
"11700","2025-11-27 12:54:31.010831+00","Bac Giang","66","17","41","227","11","7","27"
"11701","2025-11-27 12:54:33.516041+00","Bac Ninh","59","14","20","261","8","10","34"
"11702","2025-11-27 12:54:36.927391+00","Binh Dinh","74","21","32","207","2","5","55"
"11703","2025-11-27 12:54:39.381303+00","Binh Duong","70","19","27","262","3","12","48"
"11704","2025-11-27 12:54:41.935553+00","Can Tho","71","20","30","243","3","11","55"
"11705","2025-11-27 12:54:44.454318+00","Cao Bang","80","24","48","406","2","4","41"
"11706","2025-11-27 12:54:47.267658+00","Da Nang","80","24","45","246","4","6","70"
"11707","2025-11-27 12:54:49.824301+00","Gia Lai","75","22","28","302","4","21","53"
"11708","2025-11-27 12:54:53.225377+00","Ha Nam","79","24","39","298","7","15","42"
"11709","2025-11-27 12:54:55.978426+00","Ha Nam Province","82","26","37","307","8","17","39"
"11710","2025-11-27 12:54:58.22194+00","Ha Noi","77","23","38","216","5","10","48"
"11711","2025-11-27 12:55:01.729851+00","Hai Duong","63","16","42","223","11","8","39"
"11712","2025-11-27 12:55:05.17579+00","Hai Phong","62","15","41","199","7","6","45"
"11713","2025-11-27 12:55:08.120124+00","Ho Chi Minh","72","20","32","245","4","12","56"
"11714","2025-11-27 12:55:10.872236+00","Hanoi","68","18","42","254","6","14","41"
"11715","2025-11-27 12:55:13.511609+00","Hung Yen","73","21","30","262","7","13","43"
"11716","2025-11-27 12:55:16.05612+00","Hoa Binh Province","73","21","48","225","6","14","41"
"11717","2025-11-27 12:55:19.548994+00","Khanh Hoa","69","19","26","188","1","6","50"
"11718","2025-11-27 12:55:22.128728+00","Lam Dong","22","4","6","164","1","6","41"
"11719","2025-11-27 12:55:24.581569+00","Lang Son","69","19","47","232","6","4","30"
"11720","2025-11-27 12:55:27.290463+00","Lang Son Province","73","21","47","228","9","7","27"
"11721","2025-11-27 12:55:30.779245+00","Lao Cai","53","10","20","149","1","2","46"
"11722","2025-11-27 12:55:33.381974+00","Long An","82","26","32","320","5","16","50"
"11723","2025-11-27 12:55:36.76698+00","Nghe An","70","19","41","688","9","24","36"
"11724","2025-11-27 12:55:39.318107+00","Ninh Binh","77","23","37","219","5","9","47"
"11725","2025-11-27 12:55:41.931924+00","Ninh Thuan","71","20","26","179","1","7","50"
